url,fecha,handle,partido,texto,direccion_antes,conf_antes,direccion_despues,conf_despues,voz,contexto
https://x.com/La_SER/status/2069738148196696320,2026-06-24,@La_SER,Vox,"🔴 ÚLTIMA HORA | Vox ha desviado casi 13 millones de euros a la fundación que preside Abascal en los últimos 6 años

Informa @AdrianaGJordan 

https://t.co/75au8NfnWP https://t.co/wjVAKmKyKk",perjudica,0.99,perjudica,1.0,tercero,Vox = Vox. | Abascal = Vox. | Fundación que preside Abascal (Fundación Disenso) = Vox.
https://x.com/okdiario/status/2056691323202101342,2026-05-19,@okdiario,PSOE,"‼️ Escándalo mundial: las imágenes de la policía registrando el despacho de Zapatero, primer ex presidente de España imputado, que ya recorren 
todos los medios internacionales. https://t.co/iXw5yL3CGa",perjudica,1.0,perjudica,1.0,sin voz,Zapatero = PSOE.
https://x.com/libertaddigital/status/2041886844095258698,2026-04-08,@libertaddigital,Sumar,"🛑 #EXCLUSIVA | Un juzgado de Madrid admite a trámite la demanda de Julio Iglesias contra Yolanda Díaz por acusarle de abusos sexuales y calumnias

🏛️ La citación será el próximo 19 de mayo https://t.co/e3M9EZfLpD",perjudica,0.87,perjudica,0.91,sin voz,Julio Iglesias = Caso demanda contra Yolanda Díaz. | Yolanda Díaz = Sumar.
https://x.com/eldiarioes/status/1990380600406966506,2025-11-17,@eldiarioes,varios,"🗣️""Yo no era el que tenía que activar la alerta""
🗣️""Yo tampoco""
🗣️""¡Qué dice! La madre que... Es usted un inútil, un mentiroso, un incapaz, un miserable y ojalá pague con cárcel""

🔴Rifirrafe entre Mazón y Rufián en el Congreso https://t.co/VxJMKGCQ0d https://t.co/0D00dkLMXJ",perjudica,0.79,perjudica,0.72,cargo del partido,Mazón = PP (caso DANA). | Rufián = ERC.
https://x.com/HoyPorHoy/status/2061717637327892648,2026-06-02,@HoyPorHoy,PP,"🎙️ Àngels Barceló: ""Llevo muy mal que Aznar dé lecciones de cualquier cosa porque tenemos memoria, lo hemos vivido, contado y sufrido""

""Ha sido la persona que más ha mentido a los españoles"" https://t.co/ttySDjoyy7",perjudica,1.0,perjudica,0.98,rival,Aznar = PP.
https://x.com/elespanolcom/status/2094870835139875005,2026-09-01,@elespanolcom,ninguno,"🔴 #EXCLUSIVA | La Policía informa a la juez que la invasión de Ceuta fue guiada por gendarmes marroquíes a las órdenes de agentes de paisano con un fin distinto al migratorio

✍️ Por @Maria_peral 

https://t.co/bwsM4ZfZ6L",neutro,0.56,neutro,0.85,tercero,Invasión de Ceuta = Crisis migratoria de Ceuta de 2021.
https://x.com/el_pais/status/2017314352206909775,2026-01-30,@el_pais,PP,🔴 ÚLTIMA HORA | Los archivos de Epstein incluyen recibos de dos envíos a José María Aznar https://t.co/yOGmYNeAjN https://t.co/CGcoYsSvRH,perjudica,1.0,perjudica,1.0,tercero,Epstein = Caso Epstein. | José María Aznar = PP.
https://x.com/COPE/status/2054436530479886371,2026-05-13,@COPE,Sumar,"""Al Ministerio de Yolanda Díaz no se le ocurrió otra cosa que desviar 15 millones de euros de los fondos para mayores de 50 años y dedicarlo a financiar a UGT y CCOO"" https://t.co/03SZs9l1Uo",perjudica,0.97,perjudica,0.99,rival,Ministerio de Yolanda Díaz (Yolanda Díaz) = Sumar. | UGT = PSOE. | CCOO = Sumar.
https://x.com/elmundoes/status/2056629577561100328,2026-05-19,@elmundoes,PSOE,#ÚltimaHora  🔴 La Audiencia Nacional imputa al ex presidente Rodríguez Zapatero por blanqueo de capitales https://t.co/WUHMWFz8pW,perjudica,1.0,perjudica,1.0,tercero,Rodríguez Zapatero = PSOE.
https://x.com/eldiarioes/status/2095441742916984897,2026-09-03,@eldiarioes,PSOE,"🔴 Rufián: ""Yo acuso a Marruecos de enviar a 80.000 personas a su frontera para cargarse al Gobierno de España con la colaboración de Washington, de Tel Aviv y, sí, de la derecha y de la ultraderecha española"" https://t.co/HtymcDD54U https://t.co/6mUdDpPnRJ",perjudica,0.76,perjudica,0.89,rival,Rufián = ERC. | Gobierno de España = PSOE / Sumar. | Derecha y ultraderecha española = PP / Vox.
