fecha,handle,nombre,retweets,likes,replies,views,gate_p,relevante,partido,partido_conf,direccion,direccion_conf,ironia_p,texto,url,p_PP,p_PSOE,p_Vox,p_Sumar,p_varios,p_ninguno,error,voz,direccion_motivo
2026-01-12T08:43:07+00:00,@publico_es,Público,11376,40303,596,755273,0.02,no,,,,,,"🎥 Mark Ruffalo recuerda en los Globos de Oro a Renee Nicole Good, la mujer que murió asesinada por un agente del ICE y manda un mensaje a Donald Trump: ""Es el peor ser humano que existe"" https://t.co/LfH3pCLoO0",https://x.com/publico_es/status/2010633627088887924,,,,,,,,,
2026-06-10T20:09:47+00:00,@el_pais,EL PAÍS,11210,44473,455,10109565,0.03,no,,,,,,📺 TV en DIRECTO |  Así ha sido el espectáculo de luminoso en homenaje a Gaudí para inaugurar la nueva torre de la Sagrada Familia https://t.co/lUGOsi78sS https://t.co/vhCAqx5YcB,https://x.com/el_pais/status/2064802225990369768,,,,,,,,,
2026-01-27T16:53:37+00:00,@elEconomistaes,elEconomista.es,10846,35741,392,5249708,0.04,no,,,,,,"👨‍🔬 Científicos españoles consiguen eliminar completamente el cáncer de páncreas gracias a la combinación de tres fármacos

👀 Un avance en modelos animales contra uno de los tumores más agresivos y con mayor tasa de mortalidad.

Toda la información aquí 🔗 https://t.co/T2xJQoKx9r https://t.co/V3LTUkUbcw",https://x.com/elEconomistaes/status/2016192884597248509,,,,,,,,,
2026-06-24T11:03:23+00:00,@La_SER,Cadena SER,9583,19034,1496,3808044,0.99,si,Vox,0.9,perjudica,0.9,0.07,"🔴 ÚLTIMA HORA | Vox ha desviado casi 13 millones de euros a la fundación que preside Abascal en los últimos 6 años

Informa @AdrianaGJordan 

https://t.co/75au8NfnWP https://t.co/wjVAKmKyKk",https://x.com/La_SER/status/2069738148196696320,0.0,0.0,1.0,0.0,0.0,0.0,,tercero,Denuncia el desvío de fondos de Vox a la fundación Abascal.
2026-01-27T11:01:14+00:00,@La_SER,Cadena SER,8239,27559,353,2732297,0.03,no,,,,,,"🔴 ÚLTIMA HORA | El científico Mariano Barbacid logra eliminar el cáncer de páncreas más común en modelos animales

Informa @JRuizMz 

https://t.co/9W3YyvfiEA https://t.co/YKAZkhWSKr",https://x.com/La_SER/status/2016104203240812905,,,,,,,,,
2026-03-29T10:58:37+00:00,@europapress,Europa Press,7432,12795,593,1315209,0.02,no,,,,,,"🔴 La Policía israelí impide al jefe de la Iglesia Católica de Jerusalén entrar en la Iglesia del Santo Sepulcro y oficiar la misa de Domingo de Ramos, un gesto descrito por la Iglesia como ""sin precedentes"" https://t.co/IzFAKM5oFz",https://x.com/europapress/status/2038209207845978576,,,,,,,,,
2026-01-01T18:11:47+00:00,@okdiario,okdiario.com,7399,20224,689,375777,0.03,no,,,,,,"🚨 Se acabó el comunismo en Polonia.

Polonia ha ilegalizado el Partido Comunista tras una decisión del Tribunal Constitucional, que considera que su ideología vulnera la Constitución al basarse en principios totalitarios.

📲 Lee la noticia al completo: https://t.co/yuvjgB7sz6 https://t.co/2FOzn2ZKgU",https://x.com/okdiario/status/2006790471352479956,,,,,,,,,
2025-09-30T11:54:00+00:00,@eldiarioes,elDiario.es,6991,19539,603,270327,0.03,no,,,,,,"Richard Gere, sobre Donald Trump: “No solo está loco, es una presencia oscura. En seis meses ha destruido nuestro país”
https://t.co/63WSMxdqjd https://t.co/Il9FWBEZfJ",https://x.com/eldiarioes/status/1972993326749016364,,,,,,,,,
2025-09-26T13:09:25+00:00,@eldiarioes,elDiario.es,6859,33400,696,1209125,0.04,no,,,,,,🔴 Abuchean a Netanyahu en la Asamblea de la ONU y la sala se vacía antes de dar su discurso https://t.co/aIHonFVRmU,https://x.com/eldiarioes/status/1971562757246828911,,,,,,,,,
2026-05-19T10:59:57+00:00,@okdiario,okdiario.com,6732,13101,343,134422,0.97,si,PSOE,0.9,perjudica,0.9,0.24,"‼️ Escándalo mundial: las imágenes de la policía registrando el despacho de Zapatero, primer ex presidente de España imputado, que ya recorren 
todos los medios internacionales. https://t.co/iXw5yL3CGa",https://x.com/okdiario/status/2056691323202101342,0.0,1.0,0.0,0.0,0.0,0.0,,sin voz,Informa del registro policial y la imputación del expresidente socialista Zapatero.
2026-05-16T19:00:46+00:00,@rtve,RTVE,6378,21143,2757,1168680,0.18,no,,,,,,"Ante la celebración de la final del festival de Eurovisión esta noche, RTVE recuerda que ha decidido no participar en esta edición del certamen.

El festival de Eurovisión es un concurso, pero los derechos humanos no lo son. No hay espacio para la indiferencia. Paz y Justicia https://t.co/PiCc70cINx",https://x.com/rtve/status/2055725161526272403,,,,,,,,,
2026-04-08T14:32:14+00:00,@libertaddigital,Libertad Digital,6343,20327,532,639310,0.87,si,Sumar,0.9,perjudica,0.9,0.06,"🛑 #EXCLUSIVA | Un juzgado de Madrid admite a trámite la demanda de Julio Iglesias contra Yolanda Díaz por acusarle de abusos sexuales y calumnias

🏛️ La citación será el próximo 19 de mayo https://t.co/e3M9EZfLpD",https://x.com/libertaddigital/status/2041886844095258698,0.0,0.0,0.0,1.0,0.0,0.0,,sin voz,Admisión a trámite de demanda judicial contra la líder de Sumar.
